participant,position,setup,calibration_table,calibration_screen,calibration_loss,calibration_impossible,table_pct,screen_pct,loss_pct,table_share_valid,screen_share_valid,n_figures_used,n_timestamps_total
62449968,sitting,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
41804101,sitting,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
36594506,sitting,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
69907732,sitting,head_mounted,no_issue,no_issue,no_issue,False,42.81539701733172,24.596936719064892,32.58766626360339,63.51270553064275,36.48729446935725,6,9921
6184491,sitting,head_mounted,slight_issues,slight_issues,slight_issues,False,33.42736248236953,33.24602055208543,33.326616965545035,50.13599274705349,49.86400725294651,6,4961
19125832,sitting,head_mounted,no_issue,no_issue,no_issue,False,50.55669166098614,20.32492615314701,29.11838218586685,71.32553293797083,28.674467062029173,5,8798
21053630,sitting,head_mounted,no_issue,no_issue,no_issue,False,37.96950539233916,27.56910871451593,34.461385893144914,57.934556459239644,42.065443540760356,6,8066
21153321,sitting,head_mounted,slight_issues,slight_issues,slight_issues,False,51.38154027042916,18.386243386243386,30.232216343327455,73.64651358752897,26.353486412471035,6,6804
27194039,sitting,head_mounted,slight_issues,slight_issues,slight_issues,False,40.91595369904378,25.72554940446234,33.358496896493875,61.39710509754563,38.60289490245437,6,11921
27011494,sitting,head_mounted,severe_issues,severe_issues,severe_issues,False,37.21815107102593,1.028748590755355,61.753100338218715,97.310243183493,2.6897568165070007,6,7096
51230424,sitting,head_mounted,slight_issues,slight_issues,slight_issues,False,52.367605841569556,11.240595958105915,36.39179820032453,82.32838589981448,17.67161410018553,6,6779
89364598,sitting,head_mounted,no_issue,no_issue,no_issue,False,43.805783648696895,23.08104248482685,33.11317386647626,65.49239391513211,34.507606084867895,6,5600
68635455,sitting,head_mounted,slight_issues,slight_issues,slight_issues,False,63.370113063615314,3.677973028197793,32.951913908186896,94.51442503047542,5.485574969524584,6,7341
74765700,sitting,head_mounted,no_issue,no_issue,no_issue,False,50.45800341561869,28.334109610308957,21.20788697407235,64.03940886699507,35.960591133004925,6,6441
96434938,sitting,head_mounted,no_issue,no_issue,no_issue,False,45.39473684210526,11.905772495755517,42.69949066213922,79.22222222222223,20.77777777777778,6,4712
98811232,sitting,head_mounted,severe_issues,severe_issues,severe_issues,False,39.24622518131019,8.500772797527048,52.253002021162764,82.19621513944223,17.80378486055777,6,8411
21347602,sitting,head_mounted,severe_issues,severe_issues,severe_issues,False,33.31662070694409,14.702933065931312,51.980446227124595,69.38136256851998,30.618637431480032,6,7978
21843109,sitting,head_mounted,no_issue,no_issue,no_issue,False,37.617370892018776,33.333333333333336,29.049295774647888,53.01902398676592,46.98097601323408,6,5112
41271188,sitting,head_mounted,severe_issues,severe_issues,severe_issues,False,42.21860523350445,28.28346062351321,29.497934142982345,59.88279168886521,40.11720831113479,6,7987
39877408,sitting,head_mounted,no_issue,no_issue,no_issue,False,37.138061267310114,30.465799412505245,32.39613932018464,54.93482309124767,45.06517690875233,6,4765
62434514,standing,head_mounted,severe_issues,severe_issues,severe_issues,False,32.02554744525548,24.251824817518248,43.722627737226276,56.90661478599222,43.09338521400778,6,5479
46309944,standing,head_mounted,no_issue,no_issue,no_issue,False,38.84555382215289,36.661466458658346,24.492979719188767,51.446280991735534,48.553719008264466,6,5118
34055055,standing,head_mounted,no_issue,no_issue,no_issue,False,43.38960387765335,26.307872304863782,30.302523817482868,62.25419664268585,37.74580335731415,6,5981
98655811,standing,head_mounted,no_issue,no_issue,no_issue,False,40.59027777777778,26.65509259259259,32.754629629629626,60.36144578313253,39.63855421686747,6,8624
44376077,standing,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
26300024,standing,head_mounted,no_issue,no_issue,no_issue,False,36.50697392359005,34.202546998180715,29.29047907822923,51.6295025728988,48.3704974271012,6,6596
98208696,standing,head_mounted,no_issue,no_issue,no_issue,False,34.37350549976088,44.775227164036345,20.851267336202774,43.429003021148034,56.570996978851966,6,8363
64547051,standing,head_mounted,no_issue,no_issue,no_issue,False,49.32323557847245,25.620367386400257,25.056397035127297,65.81380348312192,34.18619651687809,6,6206
96783900,standing,head_mounted,slight_issues,slight_issues,slight_issues,False,40.97187552005325,9.61890497586953,49.409219504077214,80.98684210526316,19.013157894736842,6,6009
245213,standing,head_mounted,no_issue,no_issue,no_issue,False,43.53027793116142,13.178722621019695,43.29099944781888,76.76079195066536,23.239208049334632,6,5431
49201083,standing,head_mounted,no_issue,no_issue,no_issue,False,51.037549407114625,16.99604743083004,31.966403162055336,75.01815541031227,24.98184458968773,6,4048
68685044,standing,head_mounted,no_issue,no_issue,no_issue,False,53.525431128574546,22.549661645928836,23.924907225496618,70.35868005738881,29.64131994261119,6,4581
60573592,standing,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
53605771,standing,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
64261249,standing,head_mounted,no_issue,no_issue,no_issue,False,42.61603375527426,24.081887794967965,33.30207844975777,63.89409559512652,36.10590440487348,6,6399
54301029,standing,head_mounted,slight_issues,slight_issues,slight_issues,False,47.63323402846739,23.601456471367097,28.765309500165507,66.86802973977696,33.13197026022305,6,6042
56727984,standing,head_mounted,no_issue,no_issue,no_issue,False,49.78934324659232,26.44361833952912,23.767038413878563,65.31209362808842,34.68790637191157,6,4035
28239045,standing,head_mounted,slight_issues,slight_issues,slight_issues,False,47.710115752390536,30.246602918973327,22.043281328636134,61.200774693350546,38.799225306649454,6,5961
28373037,standing,head_mounted,impossible,impossible,impossible,True,,,,,,0,0
52687171,standing,head_mounted,slight_issues,slight_issues,slight_issues,False,44.23076923076923,33.43613933236575,22.333091436865022,56.9493109086662,43.0506890913338,5,5512
32322786,sitting,remote,slight_issues,slight_issues,slight_issues,False,19.177456554999885,14.185563243588865,66.63698020141125,57.48117727583847,42.51882272416153,6,43778
6581999,sitting,remote,no_issue,no_issue,no_issue,False,9.98243830298549,16.501833194688356,73.51572850232616,37.69194974406701,62.30805025593299,6,32456
87891249,sitting,remote,no_issue,no_issue,no_issue,False,18.559110323152552,20.4690144250141,60.971875251833346,47.55316952302292,52.44683047697708,6,49578
10383544,sitting,remote,no_issue,slight_issues,no_issue,False,14.507817276618045,22.464844091187004,63.027338632194954,39.23931018190409,60.76068981809591,3,22897
20325714,sitting,remote,slight_issues,no_issue,slight_issues,False,8.601246024026707,12.694198364922057,78.70455561105123,40.39007529934576,59.60992470065424,5,38041
26239669,sitting,remote,severe_issues,no_issue,severe_issues,False,6.52501289324394,26.01547189272821,67.45951521402785,20.0519842779257,79.9480157220743,6,48461
30587763,sitting,remote,severe_issues,no_issue,severe_issues,False,10.405608123701823,23.254673436418187,66.33971843987999,30.913609873157352,69.08639012684264,6,34653
44147463,sitting,remote,impossible,no_issue,impossible,True,,,,,,0,0
78327127,sitting,remote,impossible,no_issue,impossible,True,,,,,,0,0
85785965,sitting,remote,impossible,no_issue,impossible,True,,,,,,0,0
32407868,sitting,remote,slight_issues,slight_issues,slight_issues,False,12.42578275169792,22.156251334842594,65.41796591345948,35.93132411067194,64.06867588932806,6,46795
59755226,sitting,remote,slight_issues,slight_issues,slight_issues,False,15.873015873015873,15.421269222438813,68.70571490454532,50.72177180146332,49.27822819853668,6,32284
34608206,sitting,remote,severe_issues,no_issue,severe_issues,False,9.196394840520265,20.516487667979924,70.28711749149981,30.95086731450368,69.04913268549632,6,37046
19379603,sitting,remote,severe_issues,no_issue,severe_issues,False,4.731776866868651,17.6676765876552,77.60054654547615,21.124519294523274,78.87548070547673,5,33662
43953972,sitting,remote,no_issue,no_issue,no_issue,False,21.538887862553114,22.133752078329948,56.32736005911694,49.31895093062606,50.68104906937394,6,54065
63407394,sitting,remote,severe_issues,no_issue,severe_issues,False,11.883519768126444,18.812553779267244,69.30392645260632,38.71348480377693,61.28651519622307,6,44162
37931545,sitting,remote,slight_issues,slight_issues,slight_issues,False,14.869617145511247,23.21677393669962,61.913608917789134,39.041811846689896,60.958188153310104,6,45201
38679962,sitting,remote,severe_issues,no_issue,severe_issues,False,15.49279703323349,18.180002852660106,66.3272001141064,46.00982717722806,53.99017282277194,6,35049
71095083,sitting,remote,slight_issues,no_issue,slight_issues,False,14.598798161894662,20.31688603331046,65.08431580479488,41.811576941400666,58.188423058599334,6,48087
59704756,sitting,remote,no_issue,no_issue,no_issue,False,7.420600772478937,20.898957353559208,71.68044187396185,26.20309518761925,73.79690481238075,6,49964
48302448,standing,remote,no_issue,severe_issues,no_issue,False,17.810956589550297,20.865284637379776,61.323758773069926,46.05141560951021,53.94858439048979,6,61540
78190661,standing,remote,severe_issues,slight_issues,severe_issues,False,13.653300034238988,24.41239854182192,61.9343014239391,35.86772486772487,64.13227513227513,6,49616
