position,setup,variable,n,mean,std,median,iqr,min,max,ci_low,ci_high
sitting,remote,loss_pct,17,67.6061123488283,5.73262597247003,66.63698020141125,5.20280168670493,56.32736005911694,78.70455561105123,64.65866804810882,70.55355664954779
sitting,remote,screen_pct,17,19.700365264428815,3.560369696630509,20.4690144250141,4.488574747187396,12.694198364922055,26.01547189272821,17.869792081879737,21.530938446977892
sitting,remote,screen_share_valid,17,61.57949967154326,10.294492822070524,60.9581881533101,15.058959862724379,42.51882272416153,79.9480157220743,56.28655986648291,66.8724394766036
sitting,remote,table_pct,17,12.693522386742885,4.7158099100734026,12.42578275169792,6.296402192713225,4.731776866868651,21.538887862553118,10.268876664263738,15.118168109222031
sitting,remote,table_share_valid,17,38.420500328456725,10.294492822070524,39.041811846689896,15.058959862724382,20.0519842779257,57.48117727583847,33.127560523396376,43.713440133517075
sitting,head_mounted,loss_pct,17,36.25758505785304,10.233015406197842,33.11317386647626,6.159581856997079,21.20788697407235,61.75310033821872,30.9962540233469,41.518916092359184
sitting,head_mounted,screen_pct,17,20.259019195898794,10.161077328090911,23.08104248482685,16.377688127757693,1.028748590755355,33.333333333333336,15.034675308180049,25.48336308361754
sitting,head_mounted,screen_share_valid,17,30.57213517923796,13.85692805899557,34.507606084867895,19.33943053335701,2.6897568165070007,49.86400725294651,23.447560188805,37.69671016967092
sitting,head_mounted,table_pct,17,43.48339574624816,7.963327792965578,42.21860523350445,12.840632523599915,33.31662070694409,63.370113063615314,39.38903040114189,47.57776109135444
sitting,head_mounted,table_share_valid,17,69.42786482076204,13.85692805899557,65.49239391513211,19.339430533357017,50.13599274705349,97.310243183493,62.30328983032908,76.552439811195
standing,remote,loss_pct,17,64.25975980189068,4.374561404182966,63.79217996786288,4.04363460577467,58.95019907860999,74.97544585164125,62.01056787120714,66.50895173257423
standing,remote,screen_pct,17,19.215666713145144,2.7892505655167192,18.60445653311016,3.466701875907912,14.264667872835355,24.41239854182192,17.781566403428165,20.64976702286212
standing,remote,screen_share_valid,17,53.957841847718846,5.8346517985023665,53.94858439048979,5.568212542649391,41.052203940686574,64.13227513227513,50.957940707688834,56.95774298774886
standing,remote,table_pct,17,16.524573484964193,3.373533630032226,17.03316246469296,4.157656555311309,10.75988627552339,24.197952929895145,14.790062543752429,18.25908442617596
standing,remote,table_share_valid,17,46.042158152281154,5.834651798502368,46.05141560951021,5.568212542649384,35.86772486772487,58.94779605931343,43.04225701225114,49.042059292311166
standing,head_mounted,loss_pct,16,30.329577051364872,8.566337630374509,29.02789428919737,9.006051812069565,20.85126733620277,49.409219504077214,25.764897939022504,34.89425616370724
standing,head_mounted,screen_pct,16,26.164214953318854,8.738461707840171,25.96411984563202,7.705479257313897,9.61890497586953,44.775227164036345,21.507817394302986,30.820612512334723
standing,head_mounted,screen_share_valid,16,36.92564866441543,9.901865600966365,36.925853881093815,10.802055441182212,19.01315789473684,56.570996978851966,31.649316930573114,42.20198039825774
standing,head_mounted,table_pct,16,43.506207995316274,6.149832410049588,43.45994090440739,7.959298920039458,32.02554744525548,53.52543112857455,40.22919362139972,46.783222369232824
standing,head_mounted,table_share_valid,16,63.07435133558457,9.901865600966365,63.074146118906185,10.802055441182212,43.429003021148034,80.98684210526316,57.79801960174226,68.35068306942689
