position,setup,calibration,variable,n,mean,std,median,iqr,min,max,ci_low,ci_high
sitting,remote,no_issue,loss_pct,5,65.10454886388666,7.287371759335396,63.02733863219496,10.708566622128501,56.32736005911694,73.51572850232616,56.05608170879306,74.15301601898027
sitting,remote,slight_issues,loss_pct,6,67.74385689217522,5.809681270666333,66.02747305743537,3.020802896800774,61.913608917789134,78.70455561105123,61.64697031030178,73.84074347404865
sitting,remote,severe_issues,loss_pct,6,69.55300404293276,4.253883246220554,68.38172083331708,3.4216520983594876,66.3272001141064,77.60054654547615,65.08882735639249,74.01718072947303
sitting,head_mounted,no_issue,loss_pct,8,31.829177617516937,6.041825562873441,32.49190279189401,4.349116290081312,21.20788697407235,42.69949066213922,26.77808504211753,36.88027019291634
sitting,head_mounted,slight_issues,loss_pct,5,33.252208462775556,2.1842840244341954,33.326616965545035,0.4065829883069796,30.23221634332745,36.39179820032453,30.54006162778398,35.964355297767135
sitting,head_mounted,severe_issues,loss_pct,4,48.87112068237211,13.691491071422787,52.11672412414369,8.26820839433772,29.497934142982345,61.75310033821872,27.084903095331146,70.65733826941307
standing,remote,no_issue,loss_pct,9,63.514907807785306,5.018553223575122,63.11975953171967,4.001661126738895,58.95019907860999,74.97544585164125,59.65730631234983,67.37250930322078
standing,remote,slight_issues,loss_pct,5,65.93260126609424,3.2228664397748625,64.53219494841693,1.0050123766477128,63.79217996786288,71.60885703314987,61.930884036806646,69.93431849538183
standing,remote,severe_issues,loss_pct,3,63.7062466772008,4.650255479466027,61.9343014239391,4.389764633654785,60.20245467017687,68.98198393748643,52.154371671528786,75.25812168287283
standing,head_mounted,no_issue,loss_pct,11,28.999973028624343,6.346856038834054,29.29047907822923,8.151572923499792,20.85126733620277,43.29099944781888,24.736097124096997,33.263848933151685
standing,head_mounted,slight_issues,loss_pct,4,30.637725442435972,12.893232674014367,25.549200468515266,11.665648091335633,22.043281328636134,49.409219504077214,10.121715099142293,51.15373578572965
standing,head_mounted,severe_issues,loss_pct,1,43.72262773722628,0.0,43.72262773722628,0.0,43.72262773722628,43.72262773722628,,
