dv,analysis_type,term,sum_sq,df,F,p,partial_eta2,p_adj_bh_global
loss_pct,anova,C(position),356.9427389368325,1.0,6.232367106919006,0.015171698053863467,0.09002100270952819,0.030815960383681507
loss_pct,anova,C(setup),17814.467248165303,1.0,311.04792896319293,4.691070741901447e-26,0.8315723865264354,7.03660611285217e-25
loss_pct,anova,C(position):C(setup),27.890231015647736,1.0,0.48697491060899883,0.48784748462695693,0.0076704695930885,0.5420527606966188
loss_pct,anova,Residual,3608.162383126557,63.0,,,,
loss_pct,rank_anova,C(position),880.1884546825698,1.0,9.479357689645182,0.00307649050880448,0.13078699910994737,0.010254968362681601
loss_pct,rank_anova,C(setup),18445.116262169184,1.0,198.6482028320285,3.796526314377553e-21,0.7592186786757927,2.8473947357831646e-20
loss_pct,rank_anova,C(position):C(setup),0.6355203619911903,1.0,0.006844357930756869,0.934328025437856,0.0001086288005772084,0.934328025437856
loss_pct,rank_anova,Residual,5849.75,63.0,,,,
table_pct,anova,C(position),64.07023478976944,1.0,1.9041055492582497,0.17249718732032315,0.029337212694706186,0.23522343725498612
table_pct,anova,C(setup),13998.00615209017,1.0,416.00723456381024,1.8993843931913525e-29,0.8684779780886429,5.698153179574057e-28
table_pct,anova,C(position):C(setup),60.68815095320256,1.0,1.8035932813947964,0.18409714386207768,0.02783168633200793,0.24012670938531872
table_pct,anova,Residual,2119.8534888614117,63.0,,,,
table_pct,rank_anova,C(position),377.49909502261966,1.0,4.216616024819073,0.044186682186313324,0.06273175107866379,0.07797649797584705
table_pct,rank_anova,C(setup),18869.976813382666,1.0,210.77519832069012,9.050476997210781e-22,0.7698841955500872,9.050476997210781e-21
table_pct,rank_anova,C(position):C(setup),246.82811085972398,1.0,2.7570380468450333,0.1017970662970805,0.041927649552598936,0.1607322099427587
table_pct,rank_anova,Residual,5640.172794117647,63.0,,,,
screen_pct,anova,C(position),118.56029914635107,1.0,2.390428830923148,0.12708907853776066,0.03655624949492171,0.18155582648251523
screen_pct,anova,C(setup),229.75520589944503,1.0,4.63235562149491,0.03521257021408099,0.0684931876012116,0.06602356915140185
screen_pct,anova,C(position):C(setup),170.8609815874155,1.0,3.4449222834890043,0.06812457522615656,0.05184628358493901,0.11354095871026093
screen_pct,anova,Residual,3124.668992272648,63.0,,,,
screen_pct,rank_anova,C(position),423.4231317701879,1.0,1.2603498769165409,0.26584517893330634,0.019613181056912996,0.3323064736666329
screen_pct,rank_anova,C(setup),2690.196750308498,1.0,8.007567108952443,0.006242036203919241,0.11277061635791308,0.018726108611757726
screen_pct,rank_anova,C(position):C(setup),810.7350678733067,1.0,2.413212142506732,0.1253248226786848,0.036891815330049836,0.18155582648251523
screen_pct,rank_anova,Residual,21165.279411764703,63.0,,,,
table_share_valid,anova,C(position),9.207182069786123,1.0,0.08551245452078574,0.7709225106993107,0.001355500671924205,0.7975060455510111
table_share_valid,anova,C(setup),9746.194556275848,1.0,90.51857695734996,8.431020497170273e-14,0.5896262117026889,3.161632686438852e-13
table_share_valid,anova,C(position):C(setup),817.278036423661,1.0,7.5905364302347085,0.007661869323084104,0.10752909404133097,0.019154673307710344
table_share_valid,anova,Residual,6783.25132458373,63.0,,,,
table_share_valid,rank_anova,C(position),68.80021938845265,1.0,0.5540738524039455,0.4594254477363169,0.00871814848078362,0.5301062858495964
table_share_valid,rank_anova,C(setup),16424.682572329613,1.0,132.27410069698163,4.0357518213425836e-17,0.6773765708041292,2.0178759106712916e-16
table_share_valid,rank_anova,C(position):C(setup),770.1414027149243,1.0,6.202236238357925,0.015407980191840488,0.0896247950282292,0.030815960383681507
table_share_valid,rank_anova,Residual,7822.808823529411,63.0,,,,
screen_share_valid,anova,C(position),9.20718206978703,1.0,0.08551245452079419,0.7709225106993016,0.0013555006719243388,0.7975060455510111
screen_share_valid,anova,C(setup),9746.194556275868,1.0,90.51857695735018,8.431020497169947e-14,0.5896262117026895,3.161632686438852e-13
screen_share_valid,anova,C(position):C(setup),817.2780364236585,1.0,7.590536430234687,0.0076618693230841375,0.10752909404133071,0.019154673307710344
screen_share_valid,anova,Residual,6783.251324583728,63.0,,,,
screen_share_valid,rank_anova,C(position),68.8002193884544,1.0,0.5540738524039595,0.4594254477363111,0.008718148480783838,0.5301062858495964
screen_share_valid,rank_anova,C(setup),16424.682572329646,1.0,132.27410069698186,4.035751821342451e-17,0.6773765708041296,2.0178759106712916e-16
screen_share_valid,rank_anova,C(position):C(setup),770.1414027149222,1.0,6.202236238357905,0.015407980191840753,0.08962479502822895,0.030815960383681507
screen_share_valid,rank_anova,Residual,7822.808823529413,63.0,,,,
